SONG,ALBUM,DATE,TRACK NO,DURATION M,DURATION S,TOTAL S,PLAYS,WORDCOUNT,UK CHART,LP,CS,CD,DL,DVD,COVER?,"FEATURE SONG? IDK, WHEN YOU HAVE A SINGLE FOR AN ALBUM",CHART IF SINGLE,LEMMY,LARRY WALLIS,LUCAS FOX,PHIL TAYLOR,EDDIE CLARKE,BRIAN ROBERTSON,PHIL CAMPBELL,MICHAEL BURSTON,PETE GILL,MIKKEY DEE,DADS BDAY,DADS AGE D,DADS AGE Y,LABEL,EXPLICIT?,MUSIC VIDEO?
Iron Fist,No Remorse,9/15/1984,8,2,53,173,7787527,140,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Shine,No Remorse,9/15/1984,9,3,9,189,1527574,248,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Dancing on Your Grave,No Remorse,9/15/1984,10,4,26,266,2482965,118,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Metropolis,No Remorse,9/15/1984,11,3,35,215,3237733,49,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Snaggletooth,No Remorse,9/15/1984,12,3,51,231,539676,194,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Overkill,No Remorse,9/15/1984,13,5,13,313,57287613,127,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Please Don't Touch,No Remorse,9/15/1984,14,2,47,167,3125683,329,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Stone Dead Forever,No Remorse,9/15/1984,15,4,56,296,3470946,159,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Like a Nightmare,No Remorse,9/15/1984,16,4,26,266,280838,80,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Emergency,No Remorse,9/15/1984,17,2,58,178,599999,141,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Steal Your Face,No Remorse,9/15/1984,18,4,29,269,253337,167,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Louie Louie,No Remorse,9/15/1984,19,2,50,170,8687452,123,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
