,year,14thJuly,15thJuly,40daysMean,40daysCount
167,1994,0.0,0.0,1.1725,12.0
168,1995,0.0,0.0,0.885,12.0
169,1996,0.0,0.0,0.48,13.0
170,1997,0.4,1.7,1.5950000000000002,18.0
171,1998,1.0,0.0,1.25,18.0
172,1999,1.2,0.0,0.8099999999999999,10.0
173,2000,0.0,0.0,0.85,11.0
174,2001,3.1,10.7,1.5950000000000002,15.0
175,2002,1.3,1.4,1.3025,12.0
176,2003,0.0,0.0,1.2399999999999998,19.0
177,2004,0.0,0.0,2.6625,15.0
178,2005,5.4,2.2,2.46,15.0
179,2006,0.0,0.0,2.0075,16.0
180,2007,7.0,4.6,3.995,27.0
181,2008,0.0,0.0,1.9574999999999996,13.0
182,2009,0.0,0.0,1.49,34.0
183,2010,7.9,0.0,0.6950000000000001,9.0
184,2011,0.0,0.4,1.675,18.0
185,2012,18.3,0.1,3.225,24.0
186,2013,1.8,4.7,0.8025,14.0
187,2014,0.1,0.0,1.325,16.0
188,2015,0.0,0.0,1.395,15.0
189,2016,0.0,13.5,1.6149999999999998,9.0
190,2017,0.0,0.0,1.2625,23.0
191,2018,0.0,0.3,0.20750000000000002,7.0
192,2019,0.0,12.4,0.8424999999999999,12.0
193,2020,0.0,16.5,2.585,16.0
194,2021,0.0,0.0,2.5575,22.0
